block,model,expr,depth,n_parameters,N_T,valid_wmse,train_chi2,AIC_train,BIC_train,DeltaAIC_from_best,DeltaBIC_from_best
Rac1 perturbation; Cdc42 response,EML_expr,G((G(R)+R)),2,9,91,0.12848130385902115,6.9418462588496865,-216.169547961778,-193.57181240312633,0.0,0.0
Rac1 perturbation; Cdc42 response,double_hill,(H(R)+H(R)),1,8,91,0.26016325736221557,9.517366388834342,-189.45446155905194,-169.36758550691712,26.715086402726058,24.204226896209207
Rac1 perturbation; Cdc42 response,EML_expr,G(R),1,6,91,0.2363304780317503,26.664842225509553,-99.70373572494395,-84.63857868584286,116.46581223683404,108.93323371728347
Rac1 perturbation; Cdc42 response,hill,R^h/(K^h+R^h),0,5,91,6.384186810561987,570.7083228968064,177.07770666705792,189.63200419964218,393.2472546288359,383.2038166027685
Rac1 perturbation; RhoA response,double_hill,(H(R)+H(R)),1,8,91,0.07373052814046868,6.539876391627188,-223.59765298461465,-203.51077693247987,0.0,0.0
Rac1 perturbation; RhoA response,EML_expr,G((G(R)+R)),2,9,91,0.06983269451049837,6.703976602994557,-219.34243563484426,-196.7447000761926,4.2552173497703905,6.76607685628727
Rac1 perturbation; RhoA response,EML_expr,G(R),1,6,91,1.1570742091201993,103.76918333849825,23.949167698677332,39.01432473777843,247.546820683292,242.5251016702583
Rac1 perturbation; RhoA response,hill,R^h/(K^h+R^h),0,5,91,28.00737430893959,2580.148004991597,314.37157077866124,326.9258683112455,537.9692237632759,530.4366452437254
RhoA perturbation; Cdc42 response,EML_expr,G((G(R)+R)),2,9,91,0.1607918329755481,8.323479638058314,-199.65189931826916,-177.0541637596175,0.0,0.0
RhoA perturbation; Cdc42 response,double_hill,(H(R)+H(R)),1,8,91,0.07738467784794925,8.990215745457961,-194.639762054436,-174.5528860023012,5.012137263833154,2.501277757316302
RhoA perturbation; Cdc42 response,EML_expr,G(R),1,6,91,0.47424057472670167,34.71305568164779,-75.70067177674825,-60.635514737647156,123.95122754152091,116.41864902197034
RhoA perturbation; Cdc42 response,hill,R^h/(K^h+R^h),0,5,91,23.44968587363655,2126.3795608537353,296.76980780692185,309.3241053395061,496.421707125191,486.3782690991236
RhoA perturbation; Rac1 response,EML_expr,G((G(R)+R)),2,9,91,0.23343971045558817,19.21055603035699,-123.5413622637823,-100.94362670513065,0.0,0.0
RhoA perturbation; Rac1 response,double_hill,(H(R)+H(R)),1,8,91,0.27032282079501185,21.914556007374085,-113.55746736756899,-93.47059131543419,9.983894896213314,7.473035389696463
RhoA perturbation; Rac1 response,EML_expr,G(R),1,6,91,0.7364610725893014,52.439722451420224,-38.158757769462056,-23.093600730360958,85.38260449432025,77.8500259747697
RhoA perturbation; Rac1 response,hill,R^h/(K^h+R^h),0,5,91,14.354059856106334,1355.6740916640651,255.80870748210396,268.3630050146882,379.35006974588623,369.3066317198189
