K,n_parameters,N_T,train_chi2,valid_wmse,AIC,BIC,DeltaAIC,DeltaBIC
0,5,181,51366.92601832643,291.95550809837437,1032.3337478202275,1048.3262329765566,665.4800402207193,652.686052095656
1,4,181,38124.261751164515,210.95592024872627,976.3697504580065,989.1637385830697,609.5160428584983,593.5235577021691
2,5,181,2764.8563161675793,16.16948177254162,503.4506918178447,519.4431769741739,136.5969842183365,123.80299609327324
3,6,181,2277.037923891409,13.894072713414158,470.31619786459856,489.5071800521935,103.46249026509037,93.86699917129289
4,7,181,1955.3100150600362,8.045449029954323,444.7450677348885,467.1345469537493,77.8913601353803,71.49436607284866
5,8,181,1838.760421143503,6.787490664250314,435.621333374955,461.2093096250816,68.76762577544679,65.56912874418094
6,9,181,1243.7242460181644,3.3424900500331916,366.8537075995082,395.64018088090063,0.0,0.0
7,10,181,1238.928249983244,3.4239989013178564,368.1543939713888,400.1393642840471,1.3006863718806017,4.499183403146446
8,11,181,1287.6628767104353,3.279057501675888,377.13776500111885,412.3212323450429,10.284057401610653,16.681051464142286
9,12,181,1282.078128250233,3.2054233664760696,378.35103897636634,416.73300335155625,11.497331376858142,21.09282247065562
10,13,181,1280.9052170527007,3.150553497479878,380.1853750504084,421.7658364568642,13.331667450900227,26.12565557596355
