,2 nM rapamycin,,,20 nM rapamycin,,
Time (min),Mean,SEM,N,Mean,SEM,N
-18,0.96773145,0.006382893,22,0.978181781,0.003978349,21
-16,0.990584129,0.004557968,22,0.998233191,0.003887563,21
-14,0.993927356,0.004228603,22,0.998294457,0.003782117,21
-12,0.994023969,0.003826096,22,1.001667057,0.00308589,21
-10,0.995773985,0.003313114,22,1.000911746,0.003013992,21
-8,0.997681567,0.003186879,22,1.001176381,0.002470693,21
-6,0.999165093,0.002330825,22,1.001788682,0.001886286,21
-4,1.000059115,0.002395167,22,0.998655227,0.001978185,21
-2,1.001353128,0.001944771,22,1.000394959,0.00163484,21
0,1,0,22,1,0,21
2,0.999901547,0.002276458,22,1.008478188,0.002829353,21
4,1.005595121,0.002322598,22,1.023478511,0.00376524,21
6,1.011254481,0.002600326,22,1.021245653,0.004499489,21
8,1.013062633,0.003512498,22,1.018492496,0.005428614,21
10,1.017297149,0.003378181,22,1.014691141,0.005570411,21
12,1.020233902,0.005272741,22,1.012474084,0.006964544,21
14,1.024080489,0.005496858,22,1.013092779,0.007021625,21
16,1.025744017,0.007107716,22,1.007467553,0.007280159,21
18,1.027015794,0.006990918,22,1.012573309,0.011467041,21
20,1.028399716,0.00752114,22,1.005172731,0.008190692,21
22,1.030522116,0.008058597,22,1.003964022,0.007692554,21
24,1.033501514,0.010402199,22,1.004629867,0.00846238,21
26,1.033710205,0.009620472,22,1.00490714,0.008413279,21
28,1.031415986,0.009672052,22,1.006870217,0.009003254,21
30,1.031445223,0.010539411,22,1.005084613,0.009995283,21
32,1.032409949,0.011359973,22,1.005762537,0.01038554,21
34,1.034728394,0.011752549,22,1.00363314,0.010164916,21
36,1.035514505,0.012250886,22,1.005224388,0.009967547,21
38,1.038722556,0.012680577,22,1.005464071,0.01054638,21
40,1.040419819,0.014335661,22,1.007473247,0.01145128,21
42,1.044698509,0.015674091,22,1.007351417,0.011110917,21
44,1.049941264,0.016826487,22,1.00590331,0.011972879,21
46,1.040948042,0.013714642,22,1.005040146,0.011864208,21
48,1.042343571,0.018094324,22,1.004262931,0.012134561,21
50,1.055730266,0.019623636,22,1.000627426,0.012816768,21
52,1.049744176,0.018651784,22,1.001290404,0.012754548,21
54,1.067962996,0.023492902,22,1.003047434,0.012533011,21
56,1.062140462,0.022672255,22,1.001915237,0.012789696,21
58,1.062756339,0.02318036,22,1.004225286,0.012905624,21
60,1.066227108,0.022493107,22,1.004782209,0.01258586,21
