model,expr,depth,nodes,gates,n_parameters,parameters,train_chi2,valid_chi2,all_chi2,train_wmse,valid_wmse,AIC_train,BIC_train,score,DeltaScore_from_best,DeltaAIC_from_best
EML_expr,(G(R)+G(R)),1,5,2,9,B=9.9999999; k=1.3651182; tau=16.643563; a1=1.0204737; b1=0.51686338; c1=0.061122324; a2=0.8083822; b2=1.0046596; c2=10.462938,6.025041069115732,3.2103493823142184,9.23539045142995,0.13097915367642896,0.20064683639463865,-75.50498663150375,-59.0472140631019,0.20064683639463865,0.0,1.6825864065902039
EML_expr,G(G(R)),2,3,2,9,B=7.920829e-05; k=0.50324365; tau=12.960954; a1=0.02; b1=14.727538; c1=99.948905; a2=1.9960891; b2=59.316104; c2=20.094325,9.57065049404905,3.3605533272542996,12.931203821303349,0.2080576194358489,0.21003458295339372,-54.21725017171808,-37.75947760331622,0.21003458295339372,0.009387746558755072,22.97032286637588
linker_N4,Phi_N4,0,1,0,5,A=694853.8; S0=0.8324605; q=0.00013511009; k=0.50307734; tau=12.954995,9.572492927562692,3.361528345979712,12.934021273542404,0.20809767233831938,0.210095521623732,-62.208395623640726,-53.06518864119525,0.210095521623732,0.00944868522909334,14.979177414453233
linker_N2,Phi_N2,0,1,0,5,A=270844.29; S0=1.4112536; q=0.00029568028; k=0.50250346; tau=12.942393,9.579096288649415,3.3656234461773264,12.94471973482674,0.20824122366629164,0.2103514653860829,-62.17667453578768,-53.033467553342206,0.2103514653860829,0.009704628991444253,15.010898502306276
EML_expr,(G(G(R))+R),2,5,2,9,B=0.032453295; k=2.0421385; tau=19.423423; a1=0.79225967; b1=0.18318731; c1=0.95011023; a2=2.7759744; b2=3.789078; c2=1.0643333e-05,5.847462883840995,3.425830161508646,9.27329304534964,0.12711875834436945,0.21411438509429037,-76.881142121855,-60.42336955345315,0.21411438509429037,0.013467548699651721,0.306430916238952
EML_expr,G(R),1,2,1,6,B=9.9996854; k=0.48803596; tau=12.717457; a1=0.97411212; b1=0.86439519; c1=91.226903,9.768013928733865,3.4369951463450734,13.205009075078937,0.2123481288855188,0.2148121966465671,-59.27829875140303,-48.30645037246846,0.2148121966465671,0.014165360251928438,17.90927428669093
EML_expr,G((R+R)),1,4,1,6,B=9.9996188; k=0.4778913; tau=12.555145; a1=0.99329687; b1=0.96196661; c1=99.776675,9.908983121493897,3.490974729544291,13.399957851038188,0.21541267655421514,0.2181859205965182,-58.61918457918489,-47.64733620025032,0.2181859205965182,0.01753908420187955,18.56838845890907
EML_expr,(G(R)+R),1,4,1,6,B=1.8687925; k=0.47460238; tau=12.484871; a1=0.85016736; b1=1.460257; c1=50.366984,9.95531892808771,3.5138675005572204,13.46918642864493,0.2164199766975589,0.21961671878482628,-58.40458343550367,-47.4327350565691,0.21961671878482628,0.018969882390187626,18.78298960259029
EML_expr,G((G(R)+R)),2,5,2,9,B=2.0681855; k=3.3477241; tau=18.835505; a1=0.72475404; b1=0.15021014; c1=1.0935314; a2=2.3078006; b2=3.4549801; c2=1.9744394e-07,5.808639222539136,3.5891175728788243,9.39775679541796,0.12627476570737253,0.22431984830492652,-77.18757303809396,-60.7298004696921,0.22431984830492652,0.023673011910287867,0.0
hill,Hill ODE,0,1,0,5,A=0.018775479; K=0.0085141585; h=3.4519421; k=0.0010000004; tau=0.080900836,77.99504744764977,25.87500428755067,103.87005173520046,1.6955445097315167,1.6171877679719169,34.288180960492525,43.431387942938,1.6171877679719169,1.4165409315772783,111.47575399858648
EML_expr,(R+R),0,3,0,3,B=0.00038413559; k=5; tau=0.056860019,228.55041604987088,82.12385065358438,310.6742667034554,4.968487305431975,5.132740665849024,79.74330971908901,85.2292339085563,5.132740665849024,4.932093829454385,156.93088275718299
EML_expr,R,0,1,0,3,B=0.00076827118; k=5; tau=0.065773065,228.5504160498673,82.12385068922228,310.6742667390896,4.968487305431898,5.1327406680763925,79.74330971908829,85.22923390855557,5.1327406680763925,4.932093831681754,156.93088275718225
EML_expr,((R+R)+R),0,5,0,3,B=0.00025609039; k=5; tau=0.062390305,228.55041604986778,82.12385068949979,310.67426673936757,4.968487305431908,5.132740668093737,79.74330971908839,85.22923390855567,5.132740668093737,4.932093831699098,156.93088275718236
EML_expr,G(G((R+R))),2,5,2,9,B=1.9876996e-05; k=4.9670125; tau=0.13016458; a1=26.774181; b1=2.0698184; c1=0.09962613; a2=0.024126156; b2=9.3371122; c2=85.873319,228.55058340010729,82.12388702425233,310.6744704243596,4.968490943480593,5.13274293901577,91.74334340140815,108.20111596981002,5.13274293901577,4.932096102621132,168.9309164395021
