K,k_fit,tau_scale,train_wmse,valid_wmse,score,n_states,n_parameters,N_T,train_chi2,AIC,BIC,coefficients
10,0.4176470588235295,0.5,7.076824403606081,3.150553497479878,3.170553497479878,10,13,181,1280.9052170527007,380.1853750504084,421.7658364568642,beta0=0.420498; beta1=-14.6047; beta2=82.954; beta3=-226.552; beta4=347.613; beta5=-336.499; beta6=220.639; beta7=-96.5625; beta8=44.2678; beta9=-14.3769; beta10=2.39855
9,0.4176470588235295,0.5,7.083304575968138,3.2054233664760696,3.2234233664760694,9,12,181,1282.078128250233,378.35103897636634,416.73300335155625,beta0=0.42068; beta1=-14.4032; beta2=81.3847; beta3=-220.96; beta4=334.715; beta5=-314.526; beta6=191.617; beta7=-67.0834; beta8=22.5024; beta9=-4.00057
8,0.4176470588235295,0.5,7.114159539836659,3.279057501675888,3.295057501675888,8,11,181,1287.6628767104353,377.13776500111885,412.3212323450429,beta0=0.420397; beta1=-13.9938; beta2=78.2772; beta3=-210.121; beta4=310.688; beta5=-276.824; beta6=148.867; beta7=-33.273; beta8=5.67106
6,0.4558823529411765,0.5,6.8714046741335055,3.3424900500331916,3.3544900500331916,6,9,181,1243.7242460181644,366.8537075995082,395.64018088090063,beta0=0.430476; beta1=-12.3945; beta2=65.1834; beta3=-167.196; beta4=229.286; beta5=-179.31; beta6=73.9718
7,0.4558823529411765,0.5,6.844907458470962,3.4239989013178564,3.4379989013178562,7,10,181,1238.928249983244,368.1543939713888,400.1393642840471,beta0=0.430346; beta1=-11.9803; beta2=62.4169; beta3=-159.236; beta4=216.099; beta5=-165.87; beta6=65.9729; beta7=2.16918
5,0.22647058823529412,0.5,10.158897354383994,6.787490664250314,6.797490664250314,5,8,181,1838.760421143503,435.621333374955,461.2093096250816,beta0=0.353784; beta1=-14.0774; beta2=61.2819; beta3=-105.812; beta4=74.6425; beta5=-8.79189
4,0.22647058823529412,0.5,10.802817762762631,8.045449029954323,8.053449029954322,4,7,181,1955.3100150600362,444.7450677348885,467.1345469537493,beta0=0.35163; beta1=-10.2562; beta2=42.0493; beta3=-71.3252; beta4=46.8229
3,0.15,2.3421052631578947,12.580320021499496,13.894072713414158,13.900072713414158,3,6,181,2277.037923891409,470.31619786459856,489.5071800521935,beta0=0.322627; beta1=-7.24365; beta2=19.8467; beta3=-7.04568
2,0.2647058823529412,2.8684210526315788,15.27544926059436,16.16948177254162,16.17348177254162,2,5,181,2764.8563161675793,503.4506918178447,519.4431769741739,beta0=0.314833; beta1=-6.32618; beta2=15.4499
1,0.15,5.5,210.6312803931741,210.95592024872627,210.95792024872628,1,4,181,38124.261751164515,976.3697504580065,989.1637385830697,beta0=0.290053; beta1=5.38778
0,0.017563964045798755,,283.7951713719692,291.95550809837437,291.95550809837437,0,5,181,51366.92601832643,1032.3337478202275,1048.3262329765566,p0=0.891778; p1=-0.585111; p2=0.326931; p3=20; p4=0.017564
