,ME1,ME2,ME3,ME4,ME5,Age
GSM9308707,0.5257427094,0.7068379386190475,0.609033261,0.20140528600000002,0.43394868975,2.8
GSM9308708,0.5444765540666666,0.6578746897619048,0.63550664225,0.2754797795,0.477130826125,8.8
GSM9308709,0.5146656957333334,0.6019106122380953,0.60582090825,0.2109317195,0.49073151812499993,13.7
GSM9308710,0.5090793834666667,0.6776724037142856,0.656701604,0.2150770055,0.571990217125,15.4
GSM9308711,0.5007203164666668,0.648568972952381,0.6644787295,0.251031049,0.4773003575,14.3
GSM9308712,0.4534386171333334,0.6378923213809523,0.434847816,0.20536832249999998,0.50656032075,15.2
GSM9308713,0.4990090890666667,0.6425033598095238,0.662714553,0.265193642,0.6103501749999999,16.7
GSM9308714,0.45460292859999996,0.5474573210476189,0.6893082189999999,0.418937098,0.505229338875,14.7
GSM9308715,0.5340218136000001,0.6691131601904763,0.5797305035,0.255569302,0.271706444,0.1
GSM9308716,0.5776097928,0.6970327195238096,0.611254787,0.28217873,0.34038664612499997,0.0
GSM9308717,0.4392420524666667,0.6021602213333336,0.38006066699999996,0.4243246035,0.44266627512499995,0.1
GSM9308718,0.4720630236666666,0.6402684734761904,0.325115251,0.332907791,0.4957108182500001,9.1
GSM9308719,0.4854858192,0.6369730592857142,0.737128451,0.169595217,0.37666520650000007,12.0
GSM9308720,0.5983331368000001,0.7135545321428574,0.66352059925,0.397369739,0.28356628287499996,0.0
GSM9308721,0.5742725555333333,0.6888111061428571,0.5054682705,0.2611955325,0.376838478125,0.0
GSM9308722,0.5157269576666667,0.672757207047619,0.51736246675,0.381232539,0.471776866,0.6
GSM9308723,0.46507020506666674,0.687709291952381,0.50654068125,0.1594052895,0.569227134125,15.4
GSM9308724,0.484830376,0.636748263904762,0.612823009,0.18885553100000002,0.5592486278750001,15.7
GSM9308725,0.5883859659333334,0.7656933820476193,0.64457055175,0.22073683300000002,0.34394498287499997,0.0
GSM9308726,0.5895280636,0.7489413581904761,0.6246230385,0.20209351949999999,0.31848187250000004,0.0
GSM9308727,0.46019182399999997,0.6058114776190476,0.37088824425,0.17682874199999998,0.5285860441250001,7.3
GSM9308728,0.5462697210666667,0.6304824862857142,0.612775533,0.294511058,0.501947922875,9.7
GSM9308729,0.4549663938000001,0.6770468534761905,0.476838595,0.3475668905,0.502291034875,6.9
GSM9308730,0.5021447950666666,0.7942542064285715,0.61347365025,0.22653503800000002,0.30435467325,0.0
GSM9308731,0.3924475916,0.8133013201904762,0.52108423725,0.255640819,0.5534410584999999,7.6
GSM9308732,0.5012266678666667,0.6469891814761904,0.6359558595,0.1554099565,0.529967684875,10.6
GSM9308733,0.5521821332666667,0.7672400718571429,0.5961050655,0.18266485699999999,0.30821537325000004,0.0
GSM9308734,0.4809294857333334,0.8096293341428571,0.35469350299999997,0.21689708549999998,0.35282862974999996,0.0
GSM9308735,0.4893565281333333,0.683236070952381,0.4646387665,0.38208325099999996,0.522932390875,10.4
GSM9308736,0.47617833933333337,0.6703661685238096,0.30527028525,0.17908406799999999,0.49945269000000003,12.3
GSM9308737,0.6135405838666668,0.7413589521904763,0.514173411,0.23167903350000002,0.31013707562500004,0.1
GSM9308738,0.5101681044,0.7035994931428571,0.361197472,0.26710956799999996,0.47547301049999996,3.7
GSM9308739,0.5698526434666665,0.6863377696190476,0.3797982125,0.346069477,0.519222737375,6.7
GSM9308740,0.4387438066666666,0.6534628050476191,0.40163006999999995,0.219059563,0.5117455351250001,7.4
GSM9308741,0.4718880933333333,0.6464874572380952,0.40480471875,0.219858064,0.5574637645,13.4
GSM9308742,0.3889973175333333,0.4144781465238095,0.26822094625000004,0.528463606,0.5398770531249999,14.5
GSM9308743,0.5805511228666667,0.6176697513809524,0.579105698,0.4276533815,0.47292308924999993,9.4
GSM9308744,0.4998259256666666,0.4670519086190476,0.45495230524999997,0.49294052650000003,0.470927475,5.1
GSM9308745,0.5414017628,0.6009577075714285,0.5473926677500001,0.4770873415,0.3911722065,7.0
GSM9308746,0.43893333873333334,0.49061360166666673,0.7875727807499999,0.087831011,0.33178336249999996,14.3
GSM9308747,0.3210476125999999,0.5458533667142857,0.7542696645,0.2838846835,0.47651970250000003,12.2
GSM9308748,0.3643428128,0.7044672310952381,0.6248569245000001,0.24647787699999998,0.610432436625,12.2
GSM9308749,0.46566520693333324,0.6278081310952381,0.62875321325,0.2118095055,0.540920187125,14.8
GSM9308750,0.5399648506000001,0.7535585063333333,0.5102521289999999,0.319112758,0.590084659125,9.0
GSM9308751,0.34379923133333334,0.6184116047619048,0.6243421495,0.2877183595,0.49174634825,9.0
GSM9308752,0.3476684941333333,0.5778449315238097,0.45129311625,0.2522193115,0.4709324678749999,4.0
