,cg10501210,cg12544505.2,cg23090567,cg10505126,cg05983884,cg27003880,cg15822843,cg14882408,cg10534703,cg10973332,cg27531392,cg10820794,cg03918464,cg04287515,cg02153665,cg06857737,cg27419618,cg01079466,cg18291784,cg09714739,cg25584627,cg09227056,cg27395516,cg15940363,cg25764105,cg03673311,cg08228814,cg15211069,cg13245548,cg06848063,cg05562961,cg20356598,cg19111140,cg02909927,cg24098843,cg26653463,cg08582624,cg11882709,cg22940022,cg04469650,cg12780900,cg22036689,cg23505674,cg15835565,cg12001730,cg11359133,cg06172365,cg12911558,cg06035436,cg25379954,Age
GSM9308707,0.926234772,0.968378212,0.843615452,0.33355609,0.707452022,0.246166726,0.966737915,0.392899266,0.77211929,0.342972818,0.580997084,0.612228823,0.867036861,0.845429173,0.61287758,0.777819552,0.483980561,0.687924027,0.637107272,0.680334207,0.40911814,0.19717655,0.81160662,0.401181319,0.364429518,0.655461405,0.46059121,0.549853813,0.928074886,0.702836191,0.286658151,0.757917093,0.156878148,0.551978958,0.613595717,0.386171735,0.62070034,0.416157302,0.409352931,0.92730104,0.436125488,0.487764892,0.728060019,0.923576083,0.156643846,0.175543124,0.491670462,0.466332024,0.420302351,0.861343427,2.8
GSM9308708,0.411376584,0.466795113,0.823242099,0.367071944,0.660495624,0.235380029,0.902597716,0.737241927,0.675284553,0.809668042,0.624775155,0.728732776,0.797107607,0.838576336,0.257989641,0.879023791,0.733145768,0.876330187,0.682812171,0.501621456,0.280961998,0.331205051,0.63263366,0.435727746,0.194977697,0.744237377,0.706615755,0.528282302,0.934950692,0.754734276,0.384341364,0.594774946,0.32364299,0.538301487,0.567274629,0.249407672,0.480633991,0.544966917,0.482936697,0.943385322,0.61156357,0.342130041,0.558298256,0.860203088,0.31557953,0.189603638,0.452858809,0.426130433,0.725447982,0.747473098,8.8
GSM9308709,0.102919519,0.354049496,0.797741504,0.368184811,0.652590892,0.191037123,0.504912732,0.411635487,0.830534584,0.465442357,0.514275411,0.615704713,0.816473495,0.571946942,0.227527298,0.830679673,0.73548687,0.740855411,0.740259407,0.606771132,0.31441484,0.313423111,0.617778346,0.293900767,0.31856338,0.724021851,0.609794341,0.55845279,0.942802005,0.726423741,0.270309453,0.567556575,0.330521331,0.544871756,0.726072416,0.169191958,0.565490459,0.517528355,0.605334009,0.909754723,0.253036432,0.22962241,0.697151528,0.930518382,0.230826316,0.263783867,0.907942,0.392886376,0.687809781,0.832295354,13.7
GSM9308710,0.07793859,0.618875299,0.799746787,0.377993623,0.782765832,0.208455318,0.91110247,0.473960837,0.7064077,0.784910514,0.377877663,0.64052214,0.764494114,0.770124331,0.282806073,0.871480701,0.795526412,0.776038216,0.692230071,0.48238109,0.312833794,0.435420441,0.745912667,0.442993427,0.481250168,0.761082475,0.613970856,0.33783077,0.930835166,0.780836455,0.518886603,0.57557119,0.317945852,0.24964367,0.641076708,0.176816295,0.642156374,0.455075107,0.930479055,0.941985885,0.435602637,0.429731139,0.852323803,0.934338665,0.221698693,0.419562258,0.776128667,0.407198773,0.646054764,0.889313256,15.4
GSM9308711,0.108486794,0.114749577,0.846578953,0.392721591,0.535140082,0.197174969,0.955248557,0.399448125,0.795568184,0.775773424,0.608652289,0.695900568,0.772564243,0.613273547,0.158613686,0.850735428,0.741921484,0.747629836,0.750788581,0.382199388,0.279080902,0.319865009,0.588985691,0.501031587,0.231013993,0.567736194,0.612601805,0.603237459,0.875123832,0.595684693,0.452138971,0.755343802,0.243360445,0.508138055,0.690656398,0.178210102,0.61041488,0.459467292,0.893856141,0.937093813,0.297848905,0.38705028,0.709321252,0.913426312,0.304887129,0.372551032,0.883650911,0.334349964,0.708024249,0.851812651,14.3
GSM9308712,0.294373485,0.622267969,0.597125946,0.38836703,0.407374157,0.160586488,0.434056431,0.453865775,0.645029882,0.698533609,0.561510168,0.672616726,0.73918171,0.577088228,0.248998975,0.710938432,0.707054129,0.56468274,0.661787989,0.838439335,0.259720402,0.459960335,0.83108239,0.259497791,0.365035828,0.57377243,0.609752929,0.46169044,0.923591262,0.704993796,0.527784114,0.842416615,0.613720989,0.21111798,0.558960199,0.315864874,0.453160588,0.418499449,0.840313272,0.877915639,0.159269473,0.369657135,0.527736075,0.380588011,0.250150157,0.227616592,0.403924154,0.524908369,0.739859295,0.723488694,15.2
GSM9308713,0.111869164,0.688162962,0.703757906,0.403609846,0.510205551,0.328910733,0.931641836,0.276104132,0.756962481,0.639564397,0.425557597,0.715396725,0.716562564,0.874182983,0.341257215,0.839553949,0.750073904,0.696131072,0.633493021,0.4408575,0.287191896,0.446484382,0.705098207,0.533647121,0.627069997,0.503927499,0.705195711,0.531015384,0.933519151,0.768205523,0.517315166,0.74703579,0.762420702,0.228462289,0.63894263,0.26510698,0.72686998,0.358483063,0.74735672,0.909020248,0.590669227,0.437230867,0.596970119,0.874047296,0.201476551,0.22982505,0.412805428,0.629076853,0.570624688,0.772803732,16.7
GSM9308714,0.503087606,0.070242145,0.61316051,0.45095514,0.517660482,0.455090691,0.365344533,0.318586689,0.510461408,0.450891721,0.828437573,0.604669233,0.544099104,0.494032314,0.156261635,0.76314063,0.55635669,0.573306114,0.292579124,0.308129244,0.374095256,0.535497353,0.54150302,0.653774169,0.692973494,0.196533059,0.825121015,0.513897973,0.845171979,0.503401635,0.318341129,0.733571121,0.613565066,0.645619885,0.842209863,0.544824307,0.398105037,0.475630171,0.637879847,0.668092533,0.271951977,0.629166521,0.878575556,0.889362937,0.382783505,0.024849563,0.062047467,0.505529924,0.475886229,0.896135277,14.7
GSM9308715,0.89875921,0.265841239,0.399107629,0.355824632,0.546802856,0.287399325,0.944435095,0.587931631,0.948714282,0.451828933,0.735917685,0.241111657,0.895811188,0.564229838,0.62058502,0.857758003,0.358303295,0.684882675,0.563608273,0.488282378,0.401620271,0.154752071,0.658091387,0.291295437,0.320886969,0.503132849,0.101082977,0.679431091,0.929331867,0.52332209,0.466014114,0.88382816,0.204213274,0.541870614,0.771783823,0.89076836,0.464190923,0.521281519,0.67450926,0.852209212,0.067244985,0.743802035,0.240975402,0.814043942,0.223739279,0.098069261,0.783344373,0.153043966,0.610025267,0.800376116,0.1
GSM9308716,0.956240585,0.702872728,0.842491484,0.275640249,0.747643526,0.299942074,0.964420534,0.583101852,0.807091519,0.19060754,0.81172983,0.254519937,0.775773896,0.590853949,0.64957282,0.825775959,0.505121409,0.591717693,0.798693583,0.556859964,0.397708889,0.186714476,0.71175077,0.423012742,0.280834454,0.570403999,0.292988412,0.578788034,0.653043235,0.414762372,0.475251164,0.819558459,0.359008024,0.766906878,0.794557205,0.817798343,0.705090676,0.536178824,0.931536654,0.489235451,0.339351939,0.679536455,0.278600489,0.920590198,0.264415386,0.145032855,0.851043573,0.192548515,0.677294408,0.750089769,0.0
