Formula: Divide(Subtract(EML(ArcCos(v_{14}), v_{0}), Inv(v_{11})), Sqrt(v_{27}))
Python: (((np.exp(np.arccos(v_{14})) - np.log(v_{0})))-((1/v_{11}))/np.sqrt(v_{27}))
LaTeX: \frac{e^{\arccos(v_{14})} - \ln(v_{0}) - \frac{1}{v_{11}}}{\sqrt{v_{27}}}
Complexity: 10

Features mapping (v0, v1...):
v0: cg10501210
v1: cg12544505.2
v2: cg23090567
v3: cg10505126
v4: cg05983884
v5: cg27003880
v6: cg15822843
v7: cg14882408
v8: cg10534703
v9: cg10973332
v10: cg27531392
v11: cg10820794
v12: cg03918464
v13: cg04287515
v14: cg02153665
v15: cg06857737
v16: cg27419618
v17: cg01079466
v18: cg18291784
v19: cg09714739
v20: cg25584627
v21: cg09227056
v22: cg27395516
v23: cg15940363
v24: cg25764105
v25: cg03673311
v26: cg08228814
v27: cg15211069
v28: cg13245548
v29: cg06848063
v30: cg05562961
v31: cg20356598
v32: cg19111140
v33: cg02909927
v34: cg24098843
v35: cg26653463
v36: cg08582624
v37: cg11882709
v38: cg22940022
v39: cg04469650
v40: cg12780900
v41: cg22036689
v42: cg23505674
v43: cg15835565
v44: cg12001730
v45: cg11359133
v46: cg06172365
v47: cg12911558
v48: cg06035436
v49: cg25379954
