"","CGid","SYMBOL","GeneRegionID","seqnames","CGstart","CGend","width","strand","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","ENTREZID","transcriptId","distanceToTSS","ENSEMBL","GENENAME","flank_txIds","flank_geneIds","flank_gene_distances","genic","Intergenic","Promoter","fiveUTR","threeUTR","Exon","Intron","downstream","distal_intergenic","main_Categories","CpGislandseqnames","CpGislandstart","CpGislandend","CpGislandwidth","CpGislandstrand","CpGislandlen","CpGislandcount","CpGislandgc","CpGislandoe","CpGislandden","CpGislandpvalue","CpGisland","CGIslandNess","stackHMM","repeatElements","PMDstatus","PMDstatusDetailed","WCGW_inCommonPMDs","WCGW_GenomWide"
"1","cg00000165","BARHL2","BARHL2_Intergenic_upstream","chr1",91194674,91194675,51,"-","Distal Intergenic",1,91177579,91182794,5216,2,"343472","uc001dns.3",-11930,"ENSG00000143032","BarH like homeobox 2",NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Intergenic_upstream",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"+","ReprPC1",NA,"PMD","neither",NA,NA
"2","cg00001209","C5orf64","C5orf64_Intergenic_downstream","chr5",61220029,61220030,50,"-","Distal Intergenic",5,60933636,61002362,68727,1,"285668","uc003jst.1",286444,"ENSG00000178722","chromosome 5 open reading frame 64",NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Intergenic_downstream",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EnhWk8",NA,"PMD","commonPMD",NA,NA
"3","cg00001364","PROX1","PROX1_Exon","chr1",214170376,214170377,50,"+","Exon (uc001hkg.2/5629, exon 2 of 5)",1,214161278,214214847,53570,1,"5629","uc001hkg.2",9049,"ENSG00000117707","prospero homeobox 1","uc001hkg.2;uc001hkh.4","5629;5629","0;0",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"Exon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"+","EnhA2",NA,"PMD","commonPMD",NA,NA
"4","cg00001582","ZMIZ1","ZMIZ1_Promoter","chr10",80828702,80828703,50,"+","Promoter (<=1kb)",10,80828792,81076285,247494,1,"57178","uc001kaf.2",-90,"ENSG00000108175","zinc finger MIZ-type containing 1","uc001jzx.3;uc001jzy.3;uc001jzz.3;uc001kab.1;uc001kaf.2","283050;283050;283050;283050;57178","0;0;0;0;0",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Promoter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"+","TSS1",NA,"HMD","commonHMD",NA,NA
"5","cg00002920","MKI67","MKI67_Intergenic_upstream","chr10",130336474,130336475,51,"-","Distal Intergenic",10,129894925,129924468,29544,2,"4288","uc001lke.3",-412056,"ENSG00000148773","marker of proliferation Ki-67",NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Intergenic_upstream",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"+","BivProm3",NA,"PMD","commonPMD",NA,NA
"6","cg00003994","MEOX2","MEOX2_Exon","chr7",15725862,15725863,51,"-","Promoter (<=1kb)",7,15650837,15726308,75472,2,"4223","uc003stc.3",396,"ENSG00000106511","mesenchyme homeobox 2","uc003stc.3","4223","0",TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"Exon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"+","BivProm1",NA,"PMD","commonPMD",NA,NA
"7","cg00004555","SETD5","SETD5_Intron","chr3",9441696,9441697,50,"-","Intron (uc003brs.1/55209, intron 1 of 19)",3,9439403,9519838,80436,1,"55209","uc003brt.3",2244,"ENSG00000168137","SET domain containing 5","uc003brm.3;uc003brq.3;uc003brs.1;uc003brt.3","440944;440944;55209;55209","0;-2473;0;0",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Intron",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"+","PromF3",NA,"HMD","commonHMD",NA,NA
"8","cg00005112","WWP2","WWP2_Intron","chr16",69958840,69958841,51,"+","Intron (uc002exu.2/11060, intron 11 of 24)",16,69796187,69975644,179458,1,"11060","uc002exu.2",162603,"ENSG00000198373","WW domain containing E3 ubiquitin protein ligase 2","uc002exu.2;uc002exv.2;uc010vlm.2;uc010vln.2;uc002exw.2","11060;11060;11060;11060;11060","0;0;0;0;0",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Intron",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Acet7",NA,"HMD","commonHMD",NA,NA
"9","cg00005271","FNBP4","FNBP4_Exon","chr11",47753780,47753781,50,"+","Exon (uc001ngl.2/23360, exon 11 of 14)",11,47738069,47788664,50596,2,"23360","uc001ngj.3",34884,"ENSG00000109920","formin binding protein 4","uc001ngj.3;uc009ylv.3;uc001ngl.2","23360;23360;23360","0;0;0",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"Exon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"+","TxEx2",NA,"HMD","commonHMD",NA,NA
"10","cg00006213","SFPQ","SFPQ_Intergenic_downstream","chr1",35646820,35646821,50,"+","Downstream (2-3kb)",1,35649201,35658743,9543,2,"6421","uc001bys.3",11923,"ENSG00000116560","splicing factor proline and glutamine rich","uc001bys.3","6421","0",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Intergenic_downstream",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TxEx1",NA,"HMD","neither",NA,NA
